Domaine,Millésime,Appellation,Désignation,Cru,Type,Région,Cépage principal,Début apogée,Fin apogée,Note,Prix achat,Lieu Achat,Date Achat,Nombre,CA Connu,Date dégustation,Ma Note,Commentaire
Pascal Fricot,,Champagne,Damoiselles,,Blanc effervescent,Champagne,"Chardonnay, Pinot Noir",,,,21,Marché,22/09/2024,0,0,"23/11/2024
29/12/2024
26/04/2025","4
4
4","Amenée chez Véro & Jay
Chez Math & Jess
Chez Math & Jess pour les 40 ans de Math"
Château Le Boscq,2020,Saint Estèphe,,,Rouge,Bordeaux,"Cabernet Sauvignon, Merlot, Cabernet Franc",2024,2050,5/5,"22,44",Valap,13/02/2023,6,"134,64",,,
Pierre Trichet,,Champagne,L'authentique,Premier cru,Blanc effervescent,Champagne,,,,,,Producteur,23/02/2019,0,,15/04/2022,,Apporté chez Math et Jess. On ne l'a pas bu
Pierre Trichet,,Champagne,L'Héritage Blanc de Blanc,Premier cru,Blanc effervescent,Champagne,,,,,,Producteur,17/07/2022,0,,"23/04/2022
30/06/2022","4
4,5","Avec Cécile en weekend honfleur amoureux. Fin et aérien. Vraiment pas mal mais peut être un peu trop sucré
Bu un héritage avec Math et Jess pour anniv Cécile. Très bon"
Pierre Trichet,,Champagne,Secret d'Or,,Blanc effervescent,Champagne,,,,,,Producteur,"23/02/2019
17/07/2022",0,,"05/10/2019
24/12/2022
23/12/2023","4
4,5
4","Avec Mika et Cécile pour annoncer notre mariage. Très bon champagne.
A noël avec mes parents qui l'ont bien aimé alors qu'ils n'aiment pas le blanc de blanc en principe
Offert à Noël aux parents de Cécile. On l'a tous bu ensemble. J'ai bien aimé mais un peu moins que la fois précédente, et les parents l'ont trouvé trop puissant"
Château Grand Beausejour,2021,Pomerol,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2026,2051,3/5,49,Salon,29/11/2023,2,98,,,
Daniel Mouty,2022,Pomerol,Clos Saint-André,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Petit Verdot",2027,2052,5/5,37,Salon,27/11/2024,2,74,,,
Barão de Vilar,2021,Douro,Vilarissa Valley,,Rouge,Vallée de Douro,"Touriga Franca, Touriga National, Tinta Roriz",,,4/5,,Cadeau Paolo,25/12/2023,2,0,,,
Casa Ferreirinha,2016,Douro,Vinha Grande,,Rouge,Vallée de Douro,"Touriga Franca, Touriga National, Tinta Roriz",,,4/5,"10,95",Epicerie,10/05/2019,1,"10,95",,,
Domaine du Cardona,2017,Moretum,Vieilli en Fût,,Rouge,Languedoc Roussillon,,,,,"15,9",Mont Saint-Michel,20/04/2024,1,"15,9",,,
François Weck,,Crémant d'Alsace,Cuvée St Pantaléon,,Blanc effervescent,Alsace,"Pinot Blanc, Auxerrois, Pinot Gris",,,,"11,2",Marché,22/09/2024,1,"11,2",21/02/2025,"2,5","Avec les parents de Cécile. Pas terrible, trop brut, ne pas racheter"
l'Amiral,,Minervois,Trésor d'Etoiles Fuchsia,,Orange,Languedoc Roussillon,,,,,24,,"16/11/2019
24/05/2020",1,24,25/12/2019,"4,5",En famille à Renne. Ressemble à un vin cuit sucré (type porto). Parfait avec un foie gras.
Pascal Fricot,,Champagne,Damoiselles,,Blanc effervescent,Champagne,"Chardonnay, Pinot Noir",,,,"21,5",Marché,17/05/2025,4,86,02/08/2025,"4,5",Chez Ada et Stef
Pierre Trichet,,Champagne,La puissance Blanc de Noirs,Grand cru,Blanc effervescent,Champagne,,,,,,Producteur,23/02/2019,1,0,17/03/2024,"4,5",Avec mes parents pour l'annonce de bébé. Nous l'avons vraiment adoré
Pierre Trichet,,Champagne,Le caractère Blanc de Noirs,Premier cru,Blanc effervescent,Champagne,,,,,,Producteur,17/07/2022,1,0,,,
